from,to,relation
ek,ak,3
ak,ek,3
ak,ek,10
fg,ek,5
ek,fg,5
ac,fg,8
ek,SD,1
fg,FI,9
fg,SD,1
ap,FI,9
ap,SD,1
ek,EP,1
mi,ek,10
fg,EP,1
sp,ap,3
ap,ap,3
ap,mc,5
mc,ap,5
lv,FI,6
lv,IGB,1
mt,EP,1
mt,SD,1
ac,EP,1
aa,ek,7
aa,ma,7
aa,am,7
aa,bb,7
ek,aa,7
ma,aa,7
am,aa,7
bb,aa,7
ma,SD,1
am,SD,1
bb,SD,1
mym,DGED,1
da,FI,6
ap,mt,6
mrb,ap,2
ng,NPWJ,1
nft,ng,8
DGED,mb,11
mb,DGED,11
ap,mb,11
mb,ap,11
aa,DGED,12
aa,mb,12
aa,EP,11
EP,aa,11
DGED,aa,11
aa,DGED,11
ma,QU,1
am,QU,1
ac,QU,1
mt,QU,1
nft,NPWJ,1
em,ma,4
em,mt,4
mrb,sp,12
sp,mrb,12
em,EP,1
em,SD,1
DGED,ap,13
DGED,SD,12
dr,ma,2
ma,dr,2
da,FI,1
dr,EP,1
ac,SD,1
bb,EP,1
am,EP,1
ap,ma,4
ap,am,4
DGED,ap,6